水の呼吸の壱ノ型（いちのかた）といえば、何斬りか？,4,水の呼吸　水車（みずぐるま）,水の呼吸 滝壷（たきつぼ）,水の呼吸 打ち潮（うちしお）,水の呼吸 水面斬り（みなもぎり）
累（るい）に従っていた4人の鬼達のそれぞれの家族としての役割といえば？,1,父、母、兄、姉,兄、姉、弟、妹,父、母、叔父、叔母,祖父、祖母、父、母
柱の甘露寺蜜璃（かんろじ みつり）は何柱か？,3,水柱,蟲柱,恋柱,音柱
柱の時透 無一郎（ときとう　むいちろう）は何柱か？,4,蛇柱,風柱,岩柱,霞柱
冨岡義勇（とみおか ぎゆう）が使った水の呼吸の拾壱ノ型（じゅういちのかた）といえば？,2,生生流転（せいせいるてん）,凪（なぎ）,ねじれ渦（ねじれうず）,水車（みずぐるま）
嘴平伊之助（はしびらいのすけ）が鉄穴森鋼蔵（かなもり・こうぞう）からもらった日輪刀の色といえば？,4,黒（くろ）色,桃(もも)色,白（しろ）色,藍鼠（あいねず）色
魘夢（えんむ）が倒された直後に現れた上弦の参の鬼の名前は？,1,猗窩座(あかざ),童磨(どうま),累（るい）,黒死牟(こくしぼう)
炭治郎が「炭子」として潜入した吉原遊郭といえば何屋か？,3,きょうごく屋,はぎもと屋,ときと屋,よろず屋
堕姫（だき）が人間だった頃の名前は？,4,桃,竹,桜,梅
人間だった頃の堕姫（だき）と妓夫太郎（ぎゅうたろう）の母親は何の病気を患っていたか？,2,結核（けっかく）,梅毒（ばいどく）,麻疹（はしか）,黒死病（ペスト）
